NLTCS	-6.04	-6.04	-6.46	-6.76	-6.01	-6.11
MSNBC	-6.23	-6.71	-6.52	-6.54	-6.04	-6.11
KDDCup2000	-2.13	-2.15	-2.18	-2.29	-2.15	-2.18
Plants	-14.86	-15.1	-16.39	-16.52	-12.89	-12.98
Audio	-40.63	-40.69	-41.89	-44.37	-40.32	-40.5
Jester	-53.22	-53.19	-55.17	-58.23	-53.35	-53.48
Netflix	-57.84	-57.87	-58.53	-60.25	-57.26	-57.33
MSWeb	-9.96	-9.96	-10.21	-10.19	-9.77	-10.25
Book	-34.63	-34.8	-34.23	-34.7	-35.62	-35.89
WebKB	-157.21	-158.01	-156.84	-163.48	-161.3	-158.2
Reuters-52	-86.98	-87.32	-91.25	-94.37	-89.54	-85.07
20Newsgroup	-152.69	-152.78	-156.77	-164.13	-159.56	-155.93
